0BvkDsjIUla7X0k6CSWh1I,Luke Bryan,7604808.0,76,"['contemporary country', 'country', 'country road']",us (13)
7gjAu1qr5C2grXeQFFOGeh,Passion Pit,1217196.0,59,"['alternative dance', 'indie rock', 'indietronica', 'modern rock']",us (2)
44IvvHRk2XF243QLA2VOa8,Stunna 4 Vegas,776388.0,59,"['trap', 'viral rap']",us (1)
4QQgXkCYTt3BlENzhyNETg,"Earth, Wind & Fire",3592523.0,72,"['disco', 'funk', 'jazz funk', 'quiet storm', 'soul']",us (1)
6UBA15slIuadJ8h2lPRPos,Tech N9ne,2523206.0,70,"['hip hop', 'kansas city hip hop', 'pop rap', 'southern hip hop']",us (3)
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,7531004.0,81,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'uk pop']",us (10)
4BzCdhJTyTS3gumq9xmymb,ayokay,158827.0,57,"['electropop', 'indie poptimism', 'pop', 'pop dance', 'pop edm', 'tropical house']",us (1)
4QVBYiagIaa6ZGSPMbybpy,Pedro Capó,1525705.0,68,"['latin pop', 'puerto rican pop']",us (1)
4xRYI6VqpkE3UwrDrAZL8L,Logic,5783112.0,77,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",us (89)
3Fl1V19tmjt57oBdxXKAjJ,Blueface,5364910.0,68,"['cali rap', 'trap']",us (6)
5gCRApTajqwbnHHPbr2Fpi,Juicy J,2891371.0,73,"['crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",us (1)
2txHhyCwHjUEpJjWrEyqyX,Tom Odell,2371386.0,77,"['chill pop', 'pop']",us (1)
0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,9097882.0,76,"['canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop']",us (1)
4gOc8TsQed9eqnqJct2c5v,K/DA,1616999.0,65,['k-pop girl group'],us (3)
2gBjLmx6zQnFGQJCAQpRgw,Nelly,2229377.0,74,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'southern hip hop', 'st louis rap', 'urban contemporary']",us (3)
3EW0kQ1skZiK1NHg3Spt9J,Takeoff,1261393.0,69,"['atl hip hop', 'rap', 'southern hip hop', 'trap']",us (3)
3EY5DxGdy7x4GelivOjS2Q,Connie Francis,357577.0,53,"['adult standards', 'brill building pop', 'lounge', 'rock-and-roll', 'rockabilly']",us (1)
01QTIT5P1pFP3QnnFSdsJf,Lupe Fiasco,1782190.0,66,"['chicago rap', 'conscious hip hop', 'hip hop', 'political hip hop', 'pop rap', 'rap', 'southern hip hop']",us (1)
3qBKjEOanahMxlRojwCzhI,Zacari,78687.0,65,['gqom'],us (2)
